id,kode_provinsi,nama_provinsi,jumlah_pengeluaran_per_kapita,satuan,tahun
434,72,SULAWESI TENGAH,9696.0,RUPIAH,2022
435,73,SULAWESI SELATAN,11430.0,RUPIAH,2022
436,74,SULAWESI TENGGARA,9708.0,RUPIAH,2022
437,75,GORONTALO,10687.0,RUPIAH,2022
438,76,SULAWESI BARAT,9358.0,RUPIAH,2022
439,81,MALUKU,8876.0,RUPIAH,2022
440,82,MALUKU UTARA,8398.0,RUPIAH,2022
441,91,PAPUA BARAT,8101.0,RUPIAH,2022
442,92,PAPUA,7146.0,RUPIAH,2022
443,11,ACEH,10334.0,RUPIAH,2023
444,12,SUMATERA UTARA,11049.0,RUPIAH,2023
445,13,SUMATERA BARAT,11380.0,RUPIAH,2023
446,14,RIAU,11448.0,RUPIAH,2023
447,15,JAMBI,11160.0,RUPIAH,2023
448,16,SUMATERA SELATAN,11472.0,RUPIAH,2023
449,17,BENGKULU,11172.0,RUPIAH,2023
450,18,LAMPUNG,10769.0,RUPIAH,2023
451,19,KEPULAUAN BANGKA BELITUNG,13589.0,RUPIAH,2023
452,21,KEPULAUAN RIAU,14998.0,RUPIAH,2023
453,31,DKI JAKARTA,19373.0,RUPIAH,2023
454,32,JAWA BARAT,11695.0,RUPIAH,2023
455,33,JAWA TENGAH,11835.0,RUPIAH,2023
456,34,DI YOGYAKARTA,14924.0,RUPIAH,2023
457,35,JAWA TIMUR,12421.0,RUPIAH,2023
458,36,BANTEN,12601.0,RUPIAH,2023
459,51,BALI,14382.0,RUPIAH,2023
460,52,NUSA TENGGARA BARAT,11095.0,RUPIAH,2023
461,53,NUSA TENGGARA TIMUR,8248.0,RUPIAH,2023
462,61,KALIMANTAN BARAT,9810.0,RUPIAH,2023
463,62,KALIMANTAN TENGAH,11878.0,RUPIAH,2023
464,63,KALIMANTAN SELATAN,12953.0,RUPIAH,2023
465,64,KALIMANTAN TIMUR,13202.0,RUPIAH,2023
466,65,KALIMANTAN UTARA,9734.0,RUPIAH,2023
467,71,SULAWESI UTARA,11497.0,RUPIAH,2023
468,72,SULAWESI TENGAH,10149.0,RUPIAH,2023
469,73,SULAWESI SELATAN,11841.0,RUPIAH,2023
470,74,SULAWESI TENGGARA,10117.0,RUPIAH,2023
471,75,GORONTALO,11069.0,RUPIAH,2023
472,76,SULAWESI BARAT,9718.0,RUPIAH,2023
473,81,MALUKU,9278.0,RUPIAH,2023
474,82,MALUKU UTARA,8834.0,RUPIAH,2023
475,91,PAPUA BARAT,8404.0,RUPIAH,2023
476,94,PAPUA,7562.0,RUPIAH,2023
